"Journalist", "Organization", "Public Key"
"Caroline Barghout", "CBC", https://secure.cbc.ca/public-key/Caroline-Barghout-pub.asc
"Zach Dubinsky", "CBC", https://secure.cbc.ca/public-key/Zach-Dubinsky-pub.asc
"Anita Elash", "CBC", https://secure.cbc.ca/public-key/Anita-Elash-pub.asc
"Pete Evans", "CBC", https://secure.cbc.ca/public-key/Pete-Evans-pub.asc
"Amber Hildebrandt", "CBC", https://secure.cbc.ca/public-key/Amber-Hildebrandt-pub.asc
"John Lancaster", "CBC", https://secure.cbc.ca/public-key/John-Lancaster-pub.asc
"Jeremy McDonald", "CBC", https://secure.cbc.ca/public-key/J-McDonald-pub.asc
"John Nicol", "CBC", https://secure.cbc.ca/public-key/John-Nicol-pub.asc
"Julian Sher", "CBC", https://secure.cbc.ca/public-key/Julian-Sher-pub.asc
"Vanmala Subramaniam", "CBC", https://secure.cbc.ca/public-key/Vanmala-Subramaniam-pub.asc
"Vera-Lynn Kubinec", "CBC", https://pgp.mit.edu/pks/lookup?op=vindex&search=0xD92AC942417CC74F
"Holly Moore", "CBC", https://pgp.mit.edu/pks/lookup?op=vindex&search=0xFE9A5A231F40FB18
"Katie Nicholson", "CBC", https://pgp.mit.edu/pks/lookup?op=vindex&search=0xDC96ECA58815D534
"Joanne Levasseur", "CBC", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x90F31BBCABC43CC8
"Peter Armstrong", "CBC", https://pgp.mit.edu/pks/lookup?op=vindex&search=0xADF79CA9E8ACE03E
"Robert Cribb", "Toronto Star", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x764061E04A5D5DD4
"Joanna Smith", "Toronto Star", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x124EF20BD33676B9
"David Macharia", "Toronto Star", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x4B17C723756DBB4A
"Bart LeDrew", "Toronto Star", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x7BAF6B64785DCA6F
"Marco Chown Oved", "Toronto Star", https://pgp.mit.edu/pks/lookup?op=vindex&search=0xFF05C167F1F82211
"Alex Boutilier", "Toronto Star", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x4C060EBC87D30DB2
"Devin Patel", "Toronto Star", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x8951F95DF42400C3
"Michelle Shephard", "Toronto Star", https://pgp.mit.edu/pks/lookup?op=vindex&search=0xB658E2306D16C174
"Tanya Talaga", "Toronto Star", https://pgp.mit.edu/pks/lookup?op=vindex&search=0xBD59CB47A2403392
"Bart LeDrew", "Toronto Star", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x08143F15A8D1E993
"Greg McArthur", "The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x2BFAEBD56356BAE0
"David Shoalts", "The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x0D350D6155130E14
"David Parkinson", "The Globe and Mail",https://pgp.mit.edu/pks/lookup?op=vindex&search=0x4A10F7FF9F96931E
"Shane Dingman","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x4A4C613BCC41DD6A
"James Keller","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x0FED70B6DA5190F2
"David Walmsley","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0xCC8E3F349CC4BC0D
"Tu Thanh Ha","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x2643901D7C6CE729
"David Ebner","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x708B2134A7E36C0E
"Greg McArthur","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x297EC0F29DC338CC
"James Bradshaw", "The Globe and Mail",https://pgp.mit.edu/pks/lookup?op=vindex&search=0xB75E91E994138B99
"Adrian Morrow","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x91C31ED20440270E
"Niall McGee","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x6072C143AF390156
"Craig Saila","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0xA78571A1F143C947
"Christine Dobby","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x27DCE5F0739F82B3
"Mike Hager", "The Globe and Mail",https://pgp.mit.edu/pks/lookup?op=vindex&search=0x086042A0587F4B4C
"Josh O'Kane","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0xCB43C2DBAEAAABF6
"Madeleine White","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x1FC85873D91AE443
"Patrick White","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0xCBF6F90403222506
"Renata DAliesio","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x901712C543318858
"Robyn Doolittle","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0xE201790D5B76C30D
"Arik Ligeti","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0xBA076D013E832A43
"Matthew McClearn","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x76B638EE65DA9826
"Karen Howlett","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0xBFDA3FE44CD728BC
"Joe Friesen", "The Globe and Mail",https://pgp.mit.edu/pks/lookup?op=vindex&search=0x887903D1DE0451AB
"Michael Pereira","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x10277A0E8D8B1279
"Alasdair McKie","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0xB08C7173D08A27C2
"Doug Saunders","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x5194EF886248E447
"Matt Frehner","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x6F4DB3A502D85891
"Steve Mickeler","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x1E329473C076DAEB
"Tom Cardoso","The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x6157DA5949427340
"Kevin O'Gorman", "The Globe and Mail", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x5AA83D7E38064D82
"Colin Freeze", "The Globe and Mail", https://sec.theglobeandmail.com/pgp/keys/674825E2157BE9554CFBC8336382C5B351A60DBE.asc
"Renata D'Aliesio", "The Globe and Mail", https://sec.theglobeandmail.com/pgp/keys/CFA68BA0903EC2D2A811679D901712C543318858.asc
"Garrett Barry", "Sun Media", https://pgp.mit.edu/pks/lookup?op=vindex&search=0xADDA0481798D17D4
"Sheena Goodyear", "Sun Media", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x92FAB78DC3C3A215
"Adrian Humphreys", "National Post", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x5C0B363ED7CCE7BB
"Glen McGregor", "Ottawa Citizen", https://pgp.mit.edu/pks/lookup?op=vindex&fingerprint=on&search=0xCFA470F57D76FD95
"Lucas Timmons", "Edmonton Journal", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x668EB8C27AFF4012
"Ian Caldwell", "CTV News", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x496280A5851C9A6E
"Justin Ling", "VICE", https://pgp.mit.edu/pks/lookup?op=vindex&search=0xD29F82A36EC56D89
"Matthew Braga", "VICE", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x371DAE3E7CD8FF01
"Rafael Katigbak", "VICE", https://pgp.mit.edu/pks/lookup?op=vindex&search=0xE04A308034FDA8EB
"Patrick McGuire", "VICE", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x229FCB0C16DA995F
"Jesse Brown", "CANADALAND", https://pgp.mit.edu/pks/lookup?op=get&search=0x2B883232F6F8B30D
"Sean Craig", "CANADALAND", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x60D6B025D5AAA2FB
"Ethan Cox", "Ricochet Media", https://pgp.mit.edu/pks/lookup?op=vindex&search=0x8190238A8E3946C0
